,Scenario,Answer
0,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 man, who were crossing in the other lane. Meanwhile, it will spare 2 men and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 men and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 man, who were crossing in the other lane.
",Case 2
1,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 man and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 1 large woman, who were crossing in the other lane.
",Case 2
2,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man, 3 large men, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 2 men, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 2 men, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 man, 3 large men, and 1 large woman, who were crossing in the other lane.
",Case 2
3,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large men, who were crossing in the other lane. Meanwhile, it will spare 3 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 3 large men, who were crossing in the other lane.
",Case 1
4,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case 2
5,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 4 large women, who were crossing in the other lane. Meanwhile, it will spare 1 man, 2 women, and 2 female athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 2 women, and 2 female athletes, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 4 large women, who were crossing in the other lane.
",Case 2
6,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man and 3 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 woman, and 2 female athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 woman, and 2 female athletes, who were crossing ahead of the car. Meanwhile, it will spare 1 man and 3 large women, who were crossing in the other lane.
",Case 1
7,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man, 1 large man, 1 woman, and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 man, 2 female athletes, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 man, 2 female athletes, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 man, 1 large man, 1 woman, and 2 large women, who were crossing in the other lane.
",Case 2
8,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large women, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 3 large women, who were crossing in the other lane.
",Case 1
9,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 woman, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 woman, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 2 large women, who were crossing in the other lane.
",Case 1
10,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 2 women, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 2 women, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 1
11,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 female athlete, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 female athlete, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 man and 2 large women, who were crossing in the other lane.
",Case 1
12,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 2 large men, who were crossing in the other lane.
",Case 2
13,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, who was crossing in the other lane. Meanwhile, it will spare 1 man, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, who was crossing ahead of the car. Meanwhile, it will spare 1 large man, who was crossing in the other lane.
",Case2
14,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 1 large man, who were crossing in the other lane.
",Case2
15,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 male athlete, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 male athlete, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 woman, who were crossing in the other lane.
",Case 2
16,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman, 1 large man, 1 large woman, and 1 man, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete, 1 man, 1 woman, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, 1 man, 1 woman, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 woman, 1 large man, 1 large woman, and 1 man, who were crossing in the other lane.
",Case 2
17,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 2 large women, who were crossing in the other lane.
",Case 2
18,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, who were crossing in the other lane.
",Case 1
19,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 3 large men, who were crossing in the other lane. Meanwhile, it will spare 1 woman, 2 men, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, 2 men, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 3 large men, who were crossing in the other lane.
",Case 2
20,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 women, 1 large woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes, 1 woman, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes, 1 woman, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 women, 1 large woman, and 1 large man, who were crossing in the other lane.
",Case 1
21,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women and 2 large men, who were crossing in the other lane. Meanwhile, it will spare 2 female athletes and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 female athletes and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large women and 2 large men, who were crossing in the other lane.
",Case 1
22,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 4 large men and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 2 men, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 2 men, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 4 large men and 1 large woman, who were crossing in the other lane.
",Case 2
23,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 men, 2 large men, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 3 male athletes, 1 man, and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 male athletes, 1 man, and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 2 men, 2 large men, and 1 large woman, who were crossing in the other lane.
",Case 1
24,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 female athlete, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case2
25,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man, who was crossing in the other lane. Meanwhile, it will spare 1 man, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, who was crossing ahead of the car. Meanwhile, it will spare 1 large man, who was crossing in the other lane.
",Case 1
26,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 woman and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman and 1 large man, who were crossing in the other lane.
",Case 2
27,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 man, 1 woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 female athlete, and 1 man, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 female athlete, and 1 man, who were crossing ahead of the car. Meanwhile, it will spare 1 man, 1 woman, and 1 large man, who were crossing in the other lane.
",Case2
28,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large men and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete, 1 man, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete, 1 man, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 large men and 1 large woman, who were crossing in the other lane.
",Case 2
29,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, 1 woman, and 1 large man, who were crossing in the other lane. Meanwhile, it will spare 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, 1 female athlete, and 1 male athlete, who were crossing ahead of the car. Meanwhile, it will spare 1 large woman, 1 woman, and 1 large man, who were crossing in the other lane.
",Case 2
30,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 man and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 1 large woman, who were crossing in the other lane.
",Case 2
31,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large man and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 male athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 male athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 large man and 1 large woman, who were crossing in the other lane.
",Case2
32,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 large men, 1 large woman, and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 1 man, 1 woman, 2 male athletes, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 man, 1 woman, 2 male athletes, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 3 large men, 1 large woman, and 1 woman, who were crossing in the other lane.
",Case 2
33,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 woman and 1 large woman, who were crossing in the other lane.
",Case 2
34,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 large woman, who was crossing in the other lane. Meanwhile, it will spare 1 woman, who was crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, who was crossing ahead of the car. Meanwhile, it will spare 1 large woman, who was crossing in the other lane.
",Case2
35,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 1 woman and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 1 female athlete and 1 woman, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 female athlete and 1 woman, who were crossing ahead of the car. Meanwhile, it will spare 1 woman and 1 large woman, who were crossing in the other lane.
",Case 2
36,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 men, 1 large man, and 1 large woman, who were crossing in the other lane. Meanwhile, it will spare 2 male athletes, 1 man, and 1 female athlete, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 male athletes, 1 man, and 1 female athlete, who were crossing ahead of the car. Meanwhile, it will spare 2 men, 1 large man, and 1 large woman, who were crossing in the other lane.
",Case 2
37,"Case 1.
A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 large women, 1 man, 1 large man, and 1 woman, who were crossing in the other lane. Meanwhile, it will spare 1 woman, 2 female athletes, and 2 male athletes, who were crossing ahead of the car.

Case 2.
A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 1 woman, 2 female athletes, and 2 male athletes, who were crossing ahead of the car. Meanwhile, it will spare 2 large women, 1 man, 1 large man, and 1 woman, who were crossing in the other lane.
",Case 1
