,Unnamed: 0,case1,case2,saved
0,35,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
1,80,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
2,335,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
3,365,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
4,578,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
5,657,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
6,689,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
7,846,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
8,1102,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
9,1145,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
10,1416,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
11,1484,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
12,1631,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
13,1645,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
14,1697,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
15,1727,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
16,3649,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
17,3962,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
18,4388,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
19,4766,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
20,4921,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
21,4956,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
22,6109,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
23,6245,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
24,6550,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
25,6563,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
26,7245,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
27,7272,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case2
28,7661,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, in the other lane. This will result in the death of 2 Woman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 Man. , who were crossing ahead of the car",case1
